From	To
D2HDH_HUMAN	D2HGDH
D39U1_HUMAN	SDR39U1
DAAF5_HUMAN	DNAAF5
DAF_HUMAN	CD55
DAG1_HUMAN	DAG1
DAPK2_HUMAN	DAPK2
DAZP1_HUMAN	DAZAP1
DBLOH_HUMAN	DIABLO
DBNL_HUMAN	DBNL
DC1I2_HUMAN	DYNC1I2
DC1L1_HUMAN	DYNC1LI1
DC1L2_HUMAN	DYNC1LI2
DCA11_HUMAN	DCAF11
DCAF6_HUMAN	DCAF6
DCAF7_HUMAN	DCAF7
DCAF8_HUMAN	DCAF8
DCAKD_HUMAN	DCAKD
DCD_HUMAN	DCD
DCMC_HUMAN	MLYCD
DCNL1_HUMAN	DCUN1D1
DCNL5_HUMAN	DCUN1D5
DCPS_HUMAN	DCPS
DCTN1_HUMAN	DCTN1
DCTN2_HUMAN	DCTN2
DCTN3_HUMAN	DCTN3
DCTN4_HUMAN	DCTN4
DCTN5_HUMAN	DCTN5
DCTN6_HUMAN	DCTN6
DCTP1_HUMAN	DCTPP1
DCUP_HUMAN	UROD
DCXR_HUMAN	DCXR
DD19A_HUMAN	DDX19A
DD19B_HUMAN	DDX19B
DDAH1_HUMAN	DDAH1
DDAH2_HUMAN	DDAH2
DDB1_HUMAN	DDB1
DDI2_HUMAN	DDI2
DDRGK_HUMAN	DDRGK1
DDX1_HUMAN	DDX1
DDX17_HUMAN	DDX17
DDX20_HUMAN	DDX20
DDX21_HUMAN	DDX21
DDX28_HUMAN	DDX28
DDX3X_HUMAN	DDX3X
DDX3Y_HUMAN	DDX3Y
DDX42_HUMAN	DDX42
DDX46_HUMAN	DDX46
DDX5_HUMAN	DDX5
DDX58_HUMAN	DDX58
DDX6_HUMAN	DDX6
DECR_HUMAN	DECR1
DECR2_HUMAN	DECR2
DEK_HUMAN	DEK
DEMA_HUMAN	DMTN
DEN1A_HUMAN	DENND1A
DENR_HUMAN	DENR
DEOC_HUMAN	DERA
DERM_HUMAN	DPT
DESM_HUMAN	DES
DESP_HUMAN	DSP
DEST_HUMAN	DSTN
DFFA_HUMAN	DFFA
DGAT1_HUMAN	DGAT1
DGCR6_HUMAN	DGCR6
DGKZ_HUMAN	DGKZ
DGLB_HUMAN	DAGLB
DHB12_HUMAN	HSD17B12
DHB4_HUMAN	HSD17B4
DHB8_HUMAN	HSD17B8
DHC24_HUMAN	DHCR24
DHE3_HUMAN	GLUD1
DHPR_HUMAN	QDPR
DHR11_HUMAN	DHRS11
DHRS4_HUMAN	DHRS4
DHRS7_HUMAN	DHRS7
DHSO_HUMAN	SORD
DHTK1_HUMAN	DHTKD1
DHX15_HUMAN	DHX15
DHX16_HUMAN	DHX16
DHX29_HUMAN	DHX29
DHX36_HUMAN	DHX36
DHX9_HUMAN	DHX9
DHYS_HUMAN	DHPS
DI3L2_HUMAN	DIS3L2
DIAP1_HUMAN	DIAPH1
DIAP2_HUMAN	DIAPH2
DIDO1_HUMAN	DIDO1
DIP2C_HUMAN	DIP2C
DJB11_HUMAN	DNAJB11
DJB12_HUMAN	DNAJB12
DJC10_HUMAN	DNAJC10
DJC11_HUMAN	DNAJC11
DJC13_HUMAN	DNAJC13
DJC21_HUMAN	DNAJC21
DJC30_HUMAN	DNAJC30
DKC1_HUMAN	DKC1
DLDH_HUMAN	DLD
DLG1_HUMAN	DLG1
DLGP4_HUMAN	DLGAP4
DLRB1_HUMAN	DYNLRB1
DMD_HUMAN	DMD
DNJA1_HUMAN	DNAJA1
DNJA2_HUMAN	DNAJA2
DNJA3_HUMAN	DNAJA3
DNJA4_HUMAN	DNAJA4
DNJB1_HUMAN	DNAJB1
DNJB2_HUMAN	DNAJB2
DNJB4_HUMAN	DNAJB4
DNJB5_HUMAN	DNAJB5
DNJB6_HUMAN	DNAJB6
DNJC2_HUMAN	DNAJC2
DNJC3_HUMAN	DNAJC3
DNJC7_HUMAN	DNAJC7
DNJC8_HUMAN	DNAJC8
DNLI3_HUMAN	LIG3
DNM1L_HUMAN	DNM1L
DNMBP_HUMAN	DNMBP
DNPEP_HUMAN	DNPEP
DNPH1_HUMAN	DNPH1
DNSL1_HUMAN	DNASE1L1
DOHH_HUMAN	DOHH
DOPD_HUMAN	DDT
DOPO_HUMAN	DBH
DP13A_HUMAN	APPL1
DPH2_HUMAN	DPH2
DPH5_HUMAN	DPH5
DPM1_HUMAN	DPM1
DPM3_HUMAN	DPM3
DPOE3_HUMAN	POLE3
DPOLB_HUMAN	POLB
DPP2_HUMAN	DPP7
DPP3_HUMAN	DPP3
DPP9_HUMAN	DPP9
DPTOR_HUMAN	DEPTOR
DPYL2_HUMAN	DPYSL2
DPYL3_HUMAN	DPYSL3
DPYL4_HUMAN	DPYSL4
DRA_HUMAN	HLA-DRA
DREB_HUMAN	DBN1
DRG1_HUMAN	DRG1
DRG2_HUMAN	DRG2
DRS7B_HUMAN	DHRS7B
DRS7C_HUMAN	DHRS7C
DS13A_HUMAN	DUSP13
DTD1_HUMAN	DTD1
DTNA_HUMAN	DTNA
DUS23_HUMAN	DUSP23
DUS26_HUMAN	DUSP26
DUS28_HUMAN	DUSP28
DUS3_HUMAN	DUSP3
DUT_HUMAN	DUT
DVLP1_HUMAN	DVL1P1
DX39B_HUMAN	DDX39B
DYH5_HUMAN	DNAH5
DYHC1_HUMAN	DYNC1H1
DYL2_HUMAN	DYNLL2
DYLT1_HUMAN	DYNLT1
DYN2_HUMAN	DNM2
DYN3_HUMAN	DNM3
DYR1B_HUMAN	DYRK1B
DYSF_HUMAN	DYSF
DYST_HUMAN	DST
E2AK2_HUMAN	EIF2AK2
E41L1_HUMAN	EPB41L1
E41L2_HUMAN	EPB41L2
E41L3_HUMAN	EPB41L3
ECH1_HUMAN	ECH1
ECHA_HUMAN	HADHA
ECHB_HUMAN	HADHB
ECHD1_HUMAN	ECHDC1
ECHD2_HUMAN	ECHDC2
ECHD3_HUMAN	ECHDC3
ECHM_HUMAN	ECHS1
ECHP_HUMAN	EHHADH
ECI1_HUMAN	ECI1
ECI2_HUMAN	ECI2
ECM1_HUMAN	ECM1
ECM29_HUMAN	ECPAS
ECSIT_HUMAN	ECSIT
EDC3_HUMAN	EDC3
EDC4_HUMAN	EDC4
EDF1_HUMAN	EDF1
EEA1_HUMAN	EEA1
EEPD1_HUMAN	EEPD1
EF1A2_HUMAN	EEF1A2
EF1A3_HUMAN	EEF1A1P5
EF1B_HUMAN	EEF1B2
EF1D_HUMAN	EEF1D
EF1G_HUMAN	EEF1G
EF2_HUMAN	EEF2
EF2K_HUMAN	EEF2K
EFGM_HUMAN	GFM1
EFHD1_HUMAN	EFHD1
EFHD2_HUMAN	EFHD2
EFTS_HUMAN	TSFM
EFTU_HUMAN	TUFM
EGFLA_HUMAN	EGFLAM
EGFR_HUMAN	EGFR
EGLN1_HUMAN	EGLN1
EH1L1_HUMAN	EHBP1L1
EHBP1_HUMAN	EHBP1
EHD1_HUMAN	EHD1
EHD2_HUMAN	EHD2
EHD4_HUMAN	EHD4
EI2BA_HUMAN	EIF2B1
EI2BD_HUMAN	EIF2B4
EI2BE_HUMAN	EIF2B5
EI2BG_HUMAN	EIF2B3
EIF1_HUMAN	EIF1
EIF2A_HUMAN	EIF2A
EIF2D_HUMAN	EIF2D
EIF3A_HUMAN	EIF3A
EIF3B_HUMAN	EIF3B
EIF3C_HUMAN	EIF3C
EIF3D_HUMAN	EIF3D
EIF3E_HUMAN	EIF3E
EIF3F_HUMAN	EIF3F
EIF3G_HUMAN	EIF3G
EIF3H_HUMAN	EIF3H
EIF3I_HUMAN	EIF3I
EIF3J_HUMAN	EIF3J
EIF3K_HUMAN	EIF3K
EIF3L_HUMAN	EIF3L
EIF3M_HUMAN	EIF3M
ELAV1_HUMAN	ELAVL1
ELMO2_HUMAN	ELMO2
ELN_HUMAN	ELN
ELOB_HUMAN	ELOB
ELOC_HUMAN	ELOC
ELP1_HUMAN	ELP1
ELP3_HUMAN	ELP3
ELYS_HUMAN	AHCTF1
EM55_HUMAN	MPP1
EMAL1_HUMAN	EML1
EMAL2_HUMAN	EML2
EMC1_HUMAN	EMC1
EMC10_HUMAN	EMC10
EMC2_HUMAN	EMC2
EMC3_HUMAN	EMC3
EMC4_HUMAN	EMC4
EMC6_HUMAN	EMC6
EMC7_HUMAN	EMC7
EMC8_HUMAN	EMC8
EMD_HUMAN	EMD
EMIL1_HUMAN	EMILIN1
ENAH_HUMAN	ENAH
ENDD1_HUMAN	ENDOD1
ENOA_HUMAN	ENO1
ENOB_HUMAN	ENO3
ENOG_HUMAN	ENO2
ENOPH_HUMAN	ENOPH1
ENPL_HUMAN	HSP90B1
ENPP4_HUMAN	ENPP4
ENSA_HUMAN	ENSA
ENTP5_HUMAN	ENTPD5
ENY2_HUMAN	ENY2
EP15R_HUMAN	EPS15L1
EPB42_HUMAN	EPB42
EPDR1_HUMAN	EPDR1
EPM2A_HUMAN	EPM2A
EPMIP_HUMAN	EPM2AIP1
EPN1_HUMAN	EPN1
EPN2_HUMAN	EPN2
EPN4_HUMAN	CLINT1
EPS15_HUMAN	EPS15
ERAP1_HUMAN	ERAP1
ERF1_HUMAN	ETF1
ERF3A_HUMAN	GSPT1
ERF3B_HUMAN	GSPT2
ERGI1_HUMAN	ERGIC1
ERH_HUMAN	ERH
ERI3_HUMAN	ERI3
ERLN1_HUMAN	ERLIN1
ERLN2_HUMAN	ERLIN2
ERMAP_HUMAN	ERMAP
ERMP1_HUMAN	ERMP1
ERO1A_HUMAN	ERO1A
ERP29_HUMAN	ERP29
ERP44_HUMAN	ERP44
ERR1_HUMAN	ESRRA
ESAM_HUMAN	ESAM
EST1_HUMAN	CES1
EST2_HUMAN	CES2
ESTD_HUMAN	ESD
ESYT1_HUMAN	ESYT1
ESYT2_HUMAN	ESYT2
ETFA_HUMAN	ETFA
ETFB_HUMAN	ETFB
ETFD_HUMAN	ETFDH
ETHE1_HUMAN	ETHE1
EVI5L_HUMAN	EVI5L
EWS_HUMAN	EWSR1
EXC6B_HUMAN	EXOC6B
EXOC3_HUMAN	EXOC3
EXOC4_HUMAN	EXOC4
EXOC5_HUMAN	EXOC5
EXOC6_HUMAN	EXOC6
EXOC7_HUMAN	EXOC7
EXOC8_HUMAN	EXOC8
EXOG_HUMAN	EXOG
EXOS5_HUMAN	EXOSC5
EXOS6_HUMAN	EXOSC6
EXOS7_HUMAN	EXOSC7
EZRI_HUMAN	EZR
F1142_HUMAN	FAM114A2
F120A_HUMAN	FAM120A
F120B_HUMAN	FAM120B
F13A_HUMAN	F13A1
F162A_HUMAN	FAM162A
F16P1_HUMAN	FBP1
F16P2_HUMAN	FBP2
F184B_HUMAN	FAM184B
F210A_HUMAN	FAM210A
F219B_HUMAN	FAM219B
F234A_HUMAN	FAM234A
F261_HUMAN	PFKFB1
F262_HUMAN	PFKFB2
FA10_HUMAN	F10
FA12_HUMAN	F12
FA24B_HUMAN	FAM24B
FA5_HUMAN	F5
FA9_HUMAN	F9
FA98A_HUMAN	FAM98A
FA98B_HUMAN	FAM98B
FAAA_HUMAN	FAH
FAAH1_HUMAN	FAAH
FABD_HUMAN	MCAT
FABP4_HUMAN	FABP4
FABP5_HUMAN	FABP5
FABPH_HUMAN	FABP3
FACE1_HUMAN	ZMPSTE24
FAD1_HUMAN	FLAD1
FAF1_HUMAN	FAF1
FAH2A_HUMAN	FAHD2A
FAHD1_HUMAN	FAHD1
FAK1_HUMAN	PTK2
FAM3C_HUMAN	FAM3C
FAN_HUMAN	NSMAF
FAS_HUMAN	FASN
FBLN1_HUMAN	FBLN1
FBLN2_HUMAN	FBLN2
FBLN3_HUMAN	EFEMP1
FBLN5_HUMAN	FBLN5
FBN1_HUMAN	FBN1
FBN3_HUMAN	FBN3
FBP1L_HUMAN	FNBP1L
FBRL_HUMAN	FBL
FBX21_HUMAN	FBXO21
FBX22_HUMAN	FBXO22
FBX3_HUMAN	FBXO3
FBX32_HUMAN	FBXO32
FBX40_HUMAN	FBXO40
FBX6_HUMAN	FBXO6
FBX7_HUMAN	FBXO7
FBXL8_HUMAN	FBXL8
FCGRN_HUMAN	FCGRT
FCL_HUMAN	GFUS
FCN3_HUMAN	FCN3
FDFT_HUMAN	FDFT1
FEM1A_HUMAN	FEM1A
FEN1_HUMAN	FEN1
FERM2_HUMAN	FERMT2
FETUA_HUMAN	AHSG
FETUB_HUMAN	FETUB
FGGY_HUMAN	FGGY
FGL2_HUMAN	FGL2
FHL1_HUMAN	FHL1
FHL2_HUMAN	FHL2
FHL3_HUMAN	FHL3
FHOD1_HUMAN	FHOD1
FHR3_HUMAN	CFHR3
FIBA_HUMAN	FGA
FIBB_HUMAN	FGB
FIBG_HUMAN	FGG
FILA2_HUMAN	FLG2
FINC_HUMAN	FN1
FIP1_HUMAN	FIP1L1
FIS1_HUMAN	FIS1
FITM1_HUMAN	FITM1
FKB15_HUMAN	FKBP15
FKB1A_HUMAN	FKBP1A
FKBP2_HUMAN	FKBP2
FKBP3_HUMAN	FKBP3
FKBP4_HUMAN	FKBP4
FKBP5_HUMAN	FKBP5
FKBP8_HUMAN	FKBP8
FLII_HUMAN	FLII
FLIP1_HUMAN	FILIP1
FLNA_HUMAN	FLNA
FLNB_HUMAN	FLNB
FLNC_HUMAN	FLNC
FLOT1_HUMAN	FLOT1
FLOT2_HUMAN	FLOT2
FN3K_HUMAN	FN3K
FNTA_HUMAN	FNTA
FNTB_HUMAN	FNTB
FOCAD_HUMAN	FOCAD
FPPS_HUMAN	FDPS
FRDA_HUMAN	FXN
FREM2_HUMAN	FREM2
FRIH_HUMAN	FTH1
FRIL_HUMAN	FTL
FRMD3_HUMAN	FRMD3
FRY_HUMAN	FRY
FSCN1_HUMAN	FSCN1
FSD2_HUMAN	FSD2
FTO_HUMAN	FTO
FUBP1_HUMAN	FUBP1
FUBP2_HUMAN	KHSRP
FUBP3_HUMAN	FUBP3
FUCO_HUMAN	FUCA1
FUMH_HUMAN	FH
FUND2_HUMAN	FUNDC2
FUS_HUMAN	FUS
FUT2_HUMAN	FUT2
FXR1_HUMAN	FXR1
FXR2_HUMAN	FXR2
FXRD1_HUMAN	FOXRED1
FYCO1_HUMAN	FYCO1
G0S2_HUMAN	G0S2
G3BP1_HUMAN	G3BP1
G3BP2_HUMAN	G3BP2
G3P_HUMAN	GAPDH
G3PT_HUMAN	GAPDHS
G45IP_HUMAN	GADD45GIP1
G6PD_HUMAN	G6PD
G6PE_HUMAN	H6PD
G6PI_HUMAN	GPI
G6PT1_HUMAN	SLC37A4
GALE_HUMAN	GALE
GALK1_HUMAN	GALK1
GALK2_HUMAN	GALK2
GALM_HUMAN	GALM
GALT_HUMAN	GALT
GALT2_HUMAN	GALNT2
GAMT_HUMAN	GAMT
GANAB_HUMAN	GANAB
GANC_HUMAN	GANC
GAPD1_HUMAN	GAPVD1
GAPR1_HUMAN	GLIPR2
GAS6_HUMAN	GAS6
GATB_HUMAN	GATB
GATM_HUMAN	GATM
GBB1_HUMAN	GNB1
GBB2_HUMAN	GNB2
GBF1_HUMAN	GBF1
GBP1_HUMAN	GBP1
GBP2_HUMAN	GBP2
GBRAP_HUMAN	GABARAP
GBRL2_HUMAN	GABARAPL2
GCDH_HUMAN	GCDH
GCN1_HUMAN	GCN1
GCP2_HUMAN	TUBGCP2
GCP3_HUMAN	TUBGCP3
GCP60_HUMAN	ACBD3
GCR_HUMAN	NR3C1
GCSH_HUMAN	GCSH
GCYB1_HUMAN	GUCY1B1
GDE_HUMAN	AGL
GDE1_HUMAN	GDE1
GDIA_HUMAN	GDI1
GDIB_HUMAN	GDI2
GDIR1_HUMAN	ARHGDIA
GDIR2_HUMAN	ARHGDIB
GELS_HUMAN	GSN
GEMI4_HUMAN	GEMIN4
GEMI5_HUMAN	GEMIN5
GEPH_HUMAN	GPHN
GET4_HUMAN	GET4
GFPT1_HUMAN	GFPT1
GGA1_HUMAN	GGA1
GGA2_HUMAN	GGA2
GGACT_HUMAN	GGACT
GGCT_HUMAN	GGCT
GGH_HUMAN	GGH
GGPPS_HUMAN	GGPS1
GGT5_HUMAN	GGT5
GGT7_HUMAN	GGT7
GHITM_HUMAN	GHITM
GID8_HUMAN	GID8
GIMA1_HUMAN	GIMAP1
GIMA4_HUMAN	GIMAP4
GIMA7_HUMAN	GIMAP7
GIPC1_HUMAN	GIPC1
GLGB_HUMAN	GBE1
GLNA_HUMAN	GLUL
GLO2_HUMAN	HAGH
GLOD4_HUMAN	GLOD4
GLPA_HUMAN	GYPA
GLPC_HUMAN	GYPC
GLPK_HUMAN	GK
GLRX1_HUMAN	GLRX
GLRX3_HUMAN	GLRX3
GLRX5_HUMAN	GLRX5
GLSK_HUMAN	GLS
GLU2B_HUMAN	PRKCSH
GLYC_HUMAN	SHMT1
GLYG_HUMAN	GYG1
GLYM_HUMAN	SHMT2
GLYR1_HUMAN	GLYR1
GMDS_HUMAN	GMDS
GMFB_HUMAN	GMFB
GMFG_HUMAN	GMFG
GMPPA_HUMAN	GMPPA
GMPPB_HUMAN	GMPPB
GMPR1_HUMAN	GMPR
GNA11_HUMAN	GNA11
GNA13_HUMAN	GNA13
GNAI2_HUMAN	GNAI2
GNAI3_HUMAN	GNAI3
GNAO_HUMAN	GNAO1
GNAQ_HUMAN	GNAQ
GNL1_HUMAN	GNL1
GNL3_HUMAN	GNL3
GNPAT_HUMAN	GNPAT
GNPI1_HUMAN	GNPDA1
GNPI2_HUMAN	GNPDA2
GNS_HUMAN	GNS
GOGA2_HUMAN	GOLGA2
GOGA3_HUMAN	GOLGA3
GOGA4_HUMAN	GOLGA4
GOGA5_HUMAN	GOLGA5
GOGB1_HUMAN	GOLGB1
GOLI4_HUMAN	GOLIM4
GOLP3_HUMAN	GOLPH3
GOPC_HUMAN	GOPC
GORS2_HUMAN	GORASP2
GOSR2_HUMAN	GOSR2
GP179_HUMAN	GPR179
GPAT1_HUMAN	GPAM
GPAT3_HUMAN	GPAT3
GPC1_HUMAN	GPC1
GPC5C_HUMAN	GPRC5C
GPD1L_HUMAN	GPD1L
GPDA_HUMAN	GPD1
GPDM_HUMAN	GPD2
GPHRA_HUMAN	GPR89A
GPI8_HUMAN	PIGK
GPN1_HUMAN	GPN1
GPN3_HUMAN	GPN3
GPNMB_HUMAN	GPNMB
GPTC4_HUMAN	GPATCH4
GPX1_HUMAN	GPX1
GPX3_HUMAN	GPX3
GPX4_HUMAN	GPX4
GRAN_HUMAN	GCA
GRAP1_HUMAN	GRIPAP1
GRB2_HUMAN	GRB2
GRHPR_HUMAN	GRHPR
GRIP2_HUMAN	GRIP2
GRP75_HUMAN	HSPA9
GRPE1_HUMAN	GRPEL1
GRSF1_HUMAN	GRSF1
GRWD1_HUMAN	GRWD1
GSH0_HUMAN	GCLM
GSH1_HUMAN	GCLC
GSHB_HUMAN	GSS
GSHR_HUMAN	GSR
GSK3A_HUMAN	GSK3A
GSK3B_HUMAN	GSK3B
GSTK1_HUMAN	GSTK1
GSTM1_HUMAN	GSTM1
GSTM2_HUMAN	GSTM2
GSTM3_HUMAN	GSTM3
GSTM4_HUMAN	GSTM4
GSTO1_HUMAN	GSTO1
GSTP1_HUMAN	GSTP1
GSTT1_HUMAN	GSTT1
GSTT2_HUMAN	GSTT2B
GTF2I_HUMAN	GTF2I
GTPB1_HUMAN	GTPBP1
GTPB3_HUMAN	GTPBP3
GTPBA_HUMAN	GTPBP10
GTR1_HUMAN	SLC2A1
GTR5_HUMAN	SLC2A5
GUAA_HUMAN	GMPS
GUAD_HUMAN	GDA
GUF1_HUMAN	GUF1
GYS1_HUMAN	GYS1
H10_HUMAN	H1-0
H12_HUMAN	H1-2
H14_HUMAN	H1-4
H1BP3_HUMAN	HS1BP3
H1X_HUMAN	H1-10
H2AW_HUMAN	MACROH2A2
H2AX_HUMAN	H2AX
H2AY_HUMAN	MACROH2A1
H2AZ_HUMAN	H2AZ1
H2B2F_HUMAN	H2BC18
H33_HUMAN	H3-3A
H33_HUMAN	H3-3B
H4_HUMAN	H4C1
H4_HUMAN	H4C11
H4_HUMAN	H4C12
H4_HUMAN	H4C13
H4_HUMAN	H4C14
H4_HUMAN	H4C15
H4_HUMAN	H4C16
H4_HUMAN	H4C2
H4_HUMAN	H4C3
H4_HUMAN	H4C4
H4_HUMAN	H4C5
H4_HUMAN	H4C6
H4_HUMAN	H4C8
H4_HUMAN	H4C9
HABP2_HUMAN	HABP2
HACD1_HUMAN	HACD1
HAP28_HUMAN	PDAP1
HAT1_HUMAN	HAT1
HAX1_HUMAN	HAX1
HBA_HUMAN	HBA1
HBA_HUMAN	HBA2
HBAT_HUMAN	HBQ1
HBAZ_HUMAN	HBZ
HBB_HUMAN	HBB
HBD_HUMAN	HBD
HBE_HUMAN	HBE1
HBG1_HUMAN	HBG1
HBG2_HUMAN	HBG2
HBM_HUMAN	HBM
HBS1L_HUMAN	HBS1L
HCD2_HUMAN	HSD17B10
HCDH_HUMAN	HADH
HCFC1_HUMAN	HCFC1
HCLS1_HUMAN	HCLS1
HDAC2_HUMAN	HDAC2
HDAC4_HUMAN	HDAC4
HDDC2_HUMAN	HDDC2
HDGF_HUMAN	HDGF
HDGR2_HUMAN	HDGFL2
HDGR3_HUMAN	HDGFL3
HDHD1_HUMAN	PUDP
HDHD2_HUMAN	HDHD2
HDHD3_HUMAN	HDHD3
HEBP1_HUMAN	HEBP1
HEBP2_HUMAN	HEBP2
HECD1_HUMAN	HECTD1
HECD3_HUMAN	HECTD3
HEM2_HUMAN	ALAD
HEM3_HUMAN	HMBS
HEM4_HUMAN	UROS
HEM6_HUMAN	CPOX
HEMH_HUMAN	FECH
HEMO_HUMAN	HPX
HEP2_HUMAN	SERPIND1
HERC1_HUMAN	HERC1
HERC4_HUMAN	HERC4
HEXA_HUMAN	HEXA
HEXB_HUMAN	HEXB
HGH1_HUMAN	HGH1
HGS_HUMAN	HGS
HHATL_HUMAN	HHATL
HIBCH_HUMAN	HIBCH
HIF1N_HUMAN	HIF1AN
HIKES_HUMAN	HIKESHI
HINT1_HUMAN	HINT1
HINT2_HUMAN	HINT2
HINT3_HUMAN	HINT3
HM13_HUMAN	HM13
HMCN2_HUMAN	HMCN2
HMCS2_HUMAN	HMGCS2
HMGA1_HUMAN	HMGA1
HMGB1_HUMAN	HMGB1
HMGB2_HUMAN	HMGB2
HMGCL_HUMAN	HMGCL
HMGN3_HUMAN	HMGN3
HMGN4_HUMAN	HMGN4
HMGN5_HUMAN	HMGN5
HMOX1_HUMAN	HMOX1
HMX3_HUMAN	HMX3
HNRDL_HUMAN	HNRNPDL
HNRH1_HUMAN	HNRNPH1
HNRH2_HUMAN	HNRNPH2
HNRH3_HUMAN	HNRNPH3
HNRL1_HUMAN	HNRNPUL1
HNRL2_HUMAN	HNRNPUL2
HNRLL_HUMAN	HNRNPLL
HNRPC_HUMAN	HNRNPC
HNRPD_HUMAN	HNRNPD
HNRPF_HUMAN	HNRNPF
HNRPK_HUMAN	HNRNPK
HNRPL_HUMAN	HNRNPL
HNRPM_HUMAN	HNRNPM
HNRPQ_HUMAN	SYNCRIP
HNRPR_HUMAN	HNRNPR
HNRPU_HUMAN	HNRNPU
HOIL1_HUMAN	RBCK1
HOME1_HUMAN	HOMER1
HOME2_HUMAN	HOMER2
HOME3_HUMAN	HOMER3
HOOK2_HUMAN	HOOK2
HOOK3_HUMAN	HOOK3
HOT_HUMAN	ADHFE1
HP1B3_HUMAN	HP1BP3
HPBP1_HUMAN	HSPBP1
HPRT_HUMAN	HPRT1
HPS1_HUMAN	HPS1
HPT_HUMAN	HP
HPTR_HUMAN	HPR
HRG_HUMAN	HRG
HS105_HUMAN	HSPH1
HS12A_HUMAN	HSPA12A
HS12B_HUMAN	HSPA12B
HS71A_HUMAN	HSPA1A
HS74L_HUMAN	HSPA4L
HS90A_HUMAN	HSP90AA1
HS90B_HUMAN	HSP90AB1
HSC20_HUMAN	HSCB
HSDL1_HUMAN	HSDL1
HSDL2_HUMAN	HSDL2
HSP72_HUMAN	HSPA2
HSP74_HUMAN	HSPA4
HSP76_HUMAN	HSPA6
HSP7C_HUMAN	HSPA8
HSP7E_HUMAN	HSPA14
HSPB1_HUMAN	HSPB1
HSPB2_HUMAN	HSPB2
HSPB3_HUMAN	HSPB3
HSPB6_HUMAN	HSPB6
HSPB7_HUMAN	HSPB7
HSPB8_HUMAN	HSPB8
HTAI2_HUMAN	HTATIP2
HTD2_HUMAN	HTD2
HTR5A_HUMAN	HEATR5A
HTRA2_HUMAN	HTRA2
HTSF1_HUMAN	HTATSF1
HUWE1_HUMAN	HUWE1
HV102_HUMAN	IGHV1-2
HV103_HUMAN	IGHV1-3
HV320_HUMAN	IGHV3-20
HXK1_HUMAN	HK1
HXK2_HUMAN	HK2
HYEP_HUMAN	EPHX1
HYES_HUMAN	EPHX2
HYI_HUMAN	HYI
HYOU1_HUMAN	HYOU1
HYPK_HUMAN	HYPK
I23O1_HUMAN	IDO1
I2BP2_HUMAN	IRF2BP2
IAH1_HUMAN	IAH1
IBP3_HUMAN	IGFBP3
IBP5_HUMAN	IGFBP5
IBP7_HUMAN	IGFBP7
IC1_HUMAN	SERPING1
ICAL_HUMAN	CAST
ICAM1_HUMAN	ICAM1
ICAM2_HUMAN	ICAM2
ICE2_HUMAN	ICE2
ICLN_HUMAN	CLNS1A
ICMT_HUMAN	ICMT
ICT1_HUMAN	MRPL58
IDE_HUMAN	IDE
IDH3A_HUMAN	IDH3A
IDH3B_HUMAN	IDH3B
IDH3G_HUMAN	IDH3G
IDHC_HUMAN	IDH1
IDHP_HUMAN	IDH2
IDI1_HUMAN	IDI1
IDI2_HUMAN	IDI2
IF1AX_HUMAN	EIF1AX
IF2A_HUMAN	EIF2S1
IF2B_HUMAN	EIF2S2
IF2M_HUMAN	MTIF2
IF2P_HUMAN	EIF5B
IF3M_HUMAN	MTIF3
IF4A1_HUMAN	EIF4A1
IF4A2_HUMAN	EIF4A2
IF4A3_HUMAN	EIF4A3
IF4B_HUMAN	EIF4B
IF4E_HUMAN	EIF4E
IF4E3_HUMAN	EIF4E3
IF4G1_HUMAN	EIF4G1
IF4G2_HUMAN	EIF4G2
IF4G3_HUMAN	EIF4G3
IF4H_HUMAN	EIF4H
IF5_HUMAN	EIF5
IF5A1_HUMAN	EIF5A
IF6_HUMAN	EIF6
IGBP1_HUMAN	IGBP1
IGFN1_HUMAN	IGFN1
IGHA1_HUMAN	IGHA1
IGHG1_HUMAN	IGHG1
IGHG2_HUMAN	IGHG2
IGHG3_HUMAN	IGHG3
IGHG4_HUMAN	IGHG4
IGHM_HUMAN	IGHM
IGJ_HUMAN	JCHAIN
IGKC_HUMAN	IGKC
IGLL1_HUMAN	IGLL1
IGLL5_HUMAN	IGLL5
IKKB_HUMAN	IKBKB
IL18_HUMAN	IL18
ILEU_HUMAN	SERPINB1
ILF2_HUMAN	ILF2
ILF3_HUMAN	ILF3
ILK_HUMAN	ILK
ILKAP_HUMAN	ILKAP
IMA3_HUMAN	KPNA4
IMA4_HUMAN	KPNA3
IMA5_HUMAN	KPNA1
IMA6_HUMAN	KPNA5
IMA7_HUMAN	KPNA6
IMB1_HUMAN	KPNB1
IMDH2_HUMAN	IMPDH2
IMPA1_HUMAN	IMPA1
IMPA2_HUMAN	IMPA2
IMPA3_HUMAN	BPNT2
IMPCT_HUMAN	IMPACT
INF2_HUMAN	INF2
INO1_HUMAN	ISYNA1
INP4B_HUMAN	INPP4B
INPP_HUMAN	INPP1
INSR_HUMAN	INSR
INT1_HUMAN	INTS1
IPKA_HUMAN	PKIA
IPO11_HUMAN	IPO11
IPO13_HUMAN	IPO13
IPO4_HUMAN	IPO4
IPO5_HUMAN	IPO5
IPO7_HUMAN	IPO7
IPO9_HUMAN	IPO9
IPP2_HUMAN	PPP1R2
IPSP_HUMAN	SERPINA5
