From	To
PGAM1_HUMAN	PGAM1
TBB6_HUMAN	TUBB6
PSA5_HUMAN	PSMA5
TEKT1_HUMAN	TEKT1
GPX3_HUMAN	GPX3
TPM3_HUMAN	TPM3
ARF1_HUMAN	ARF1
PGAM4_HUMAN	PGAM4
UBA1_HUMAN	UBA1
ODBA_HUMAN	BCKDHA
EF1A3_HUMAN	EEF1A1P5
K2C1_HUMAN	KRT1
HS71L_HUMAN	HSPA1L
NDUAA_HUMAN	NDUFA10
LIS1_HUMAN	PAFAH1B1
AT1B1_HUMAN	ATP1B1
MDHM_HUMAN	MDH2
KNG1_HUMAN	KNG1
POTEE_HUMAN	POTEE
ECH1_HUMAN	ECH1
KCRM_HUMAN	CKM
CLIC4_HUMAN	CLIC4
EHD1_HUMAN	EHD1
GRPE1_HUMAN	GRPEL1
ARF3_HUMAN	ARF3
SUCB2_HUMAN	SUCLG2
NDKB_HUMAN	NME2
PRDX1_HUMAN	PRDX1
COF1_HUMAN	CFL1
GSTM2_HUMAN	GSTM2
CUL1_HUMAN	CUL1
GDIB_HUMAN	GDI2
PANK2_HUMAN	PANK2
PPCE_HUMAN	PREP
WDR1_HUMAN	WDR1
UBE2N_HUMAN	UBE2N
ZA2G_HUMAN	AZGP1
GLRX5_HUMAN	GLRX5
EPM2A_HUMAN	EPM2A
ACTB_HUMAN	ACTB
CTNB1_HUMAN	CTNNB1
FHL2_HUMAN	FHL2
KAD3_HUMAN	AK3
COQ9_HUMAN	COQ9
IDH3A_HUMAN	IDH3A
IC1_HUMAN	SERPING1
TEKT5_HUMAN	TEKT5
XPO5_HUMAN	XPO5
B4GT4_HUMAN	B4GALT4
NCOA5_HUMAN	NCOA5
HS90B_HUMAN	HSP90AB1
CH60_HUMAN	HSPD1
A1AG2_HUMAN	ORM2
FIP1_HUMAN	FIP1L1
ADHX_HUMAN	ADH5
KPYM_HUMAN	PKM
AL4A1_HUMAN	ALDH4A1
PLAK_HUMAN	JUP
RS28_HUMAN	RPS28
ETFD_HUMAN	ETFDH
ECHA_HUMAN	HADHA
H4_HUMAN	H4C1
H4_HUMAN	H4C11
H4_HUMAN	H4C12
H4_HUMAN	H4C13
H4_HUMAN	H4C14
H4_HUMAN	H4C15
H4_HUMAN	H4C16
H4_HUMAN	H4C2
H4_HUMAN	H4C3
H4_HUMAN	H4C4
H4_HUMAN	H4C5
H4_HUMAN	H4C6
H4_HUMAN	H4C8
H4_HUMAN	H4C9
FABP4_HUMAN	FABP4
EF2_HUMAN	EEF2
BLVRB_HUMAN	BLVRB
PLM_HUMAN	FXYD1
ETFA_HUMAN	ETFA
CATD_HUMAN	CTSD
NB5R3_HUMAN	CYB5R3
ANGT_HUMAN	AGT
HSP72_HUMAN	HSPA2
MYH2_HUMAN	MYH2
ZC3HD_HUMAN	ZC3H13
