From	To
GSTO1_HUMAN	GSTO1
GSTP1_HUMAN	GSTP1
GSTT4_HUMAN	GSTT4
GSX1_HUMAN	GSX1
GYS1_HUMAN	GYS1
H1T_HUMAN	H1-6
H2A1A_HUMAN	H2AC1
H2A1H_HUMAN	H2AC12
H2A1J_HUMAN	H2AC14
H2A2B_HUMAN	H2AC21
H2A2C_HUMAN	H2AC20
H2AV_HUMAN	H2AZ2
H2B1A_HUMAN	H2BC1
H2B1B_HUMAN	H2BC3
H2B1C_HUMAN	H2BC10
H2B1C_HUMAN	H2BC4
H2B1C_HUMAN	H2BC6
H2B1C_HUMAN	H2BC7
H2B1C_HUMAN	H2BC8
H2B1D_HUMAN	H2BC5
H2B2D_HUMAN	H2BC19P
H31T_HUMAN	H3-4
H33_HUMAN	H3-3A
H33_HUMAN	H3-3B
H3C_HUMAN	H3-5
H4_HUMAN	H4C1
H4_HUMAN	H4C11
H4_HUMAN	H4C12
H4_HUMAN	H4C13
H4_HUMAN	H4C14
H4_HUMAN	H4C15
H4_HUMAN	H4C16
H4_HUMAN	H4C2
H4_HUMAN	H4C3
H4_HUMAN	H4C4
H4_HUMAN	H4C5
H4_HUMAN	H4C6
H4_HUMAN	H4C8
H4_HUMAN	H4C9
H90B2_HUMAN	HSP90AB2P
H90B3_HUMAN	HSP90AB3P
H90B4_HUMAN	HSP90AB4P
HBA_HUMAN	HBA1
HBA_HUMAN	HBA2
HBAP1_HUMAN	HSPBAP1
HBAT_HUMAN	HBQ1
HBAZ_HUMAN	HBZ
HBB_HUMAN	HBB
HBD_HUMAN	HBD
HBE_HUMAN	HBE1
HBG1_HUMAN	HBG1
HBG2_HUMAN	HBG2
HCD2_HUMAN	HSD17B10
HCDH_HUMAN	HADH
HDGF_HUMAN	HDGF
HEBP2_HUMAN	HEBP2
HEMO_HUMAN	HPX
HGS_HUMAN	HGS
HIBCH_HUMAN	HIBCH
HINT2_HUMAN	HINT2
HMOX1_HUMAN	HMOX1
HMX3_HUMAN	HMX3
HNRPD_HUMAN	HNRNPD
HNRPK_HUMAN	HNRNPK
HOME1_HUMAN	HOMER1
HPSE2_HUMAN	HPSE2
HPT_HUMAN	HP
HPTR_HUMAN	HPR
HRG_HUMAN	HRG
HS71L_HUMAN	HSPA1L
HS74L_HUMAN	HSPA4L
HS902_HUMAN	HSP90AA2P
HS904_HUMAN	HSP90AA4P
HS905_HUMAN	HSP90AA5P
HS90A_HUMAN	HSP90AA1
HS90B_HUMAN	HSP90AB1
HSDL2_HUMAN	HSDL2
HSF4_HUMAN	HSF4
HSFY1_HUMAN	HSFY1
HSFY1_HUMAN	HSFY2
HSP72_HUMAN	HSPA2
HSP74_HUMAN	HSPA4
HSP76_HUMAN	HSPA6
HSP77_HUMAN	HSPA7
HSP7C_HUMAN	HSPA8
HSPB1_HUMAN	HSPB1
HSPB2_HUMAN	HSPB2
HSPB3_HUMAN	HSPB3
HSPB6_HUMAN	HSPB6
HSPB7_HUMAN	HSPB7
HV313_HUMAN	IGHV3-13
HV315_HUMAN	IGHV3-15
HV316_HUMAN	IGHV3-16
HXA10_HUMAN	HOXA10
HXB13_HUMAN	HOXB13
HXB4_HUMAN	HOXB4
HXC10_HUMAN	HOXC10
HXC11_HUMAN	HOXC11
HXC6_HUMAN	HOXC6
HXK1_HUMAN	HK1
IC1_HUMAN	SERPING1
ICAL_HUMAN	CAST
IDH3A_HUMAN	IDH3A
IDH3B_HUMAN	IDH3B
IDH3G_HUMAN	IDH3G
IDHC_HUMAN	IDH1
IDHP_HUMAN	IDH2
IF4A1_HUMAN	EIF4A1
IF4A2_HUMAN	EIF4A2
IF5A1_HUMAN	EIF5A
IF5AL_HUMAN	EIF5AL1
IFFO2_HUMAN	IFFO2
IGHA1_HUMAN	IGHA1
IGHA2_HUMAN	IGHA2
IGHG1_HUMAN	IGHG1
IGHG2_HUMAN	IGHG2
IGHG3_HUMAN	IGHG3
IGHG4_HUMAN	IGHG4
IGKC_HUMAN	IGKC
IGLL5_HUMAN	IGLL5
IGS21_HUMAN	IGSF21
IL17B_HUMAN	IL17B
IL17C_HUMAN	IL17C
IL17F_HUMAN	IL17F
IL1A_HUMAN	IL1A
IL27B_HUMAN	EBI3
IL5_HUMAN	IL5
ILF3_HUMAN	ILF3
IMA1_HUMAN	KPNA2
IMDH1_HUMAN	IMPDH1
IMPA1_HUMAN	IMPA1
IPSP_HUMAN	SERPINA5
IQCC_HUMAN	IQCC
IR3IP_HUMAN	IER3IP1
IRPL1_HUMAN	IL1RAPL1
IRS2_HUMAN	IRS2
IRX3_HUMAN	IRX3
ISCA2_HUMAN	ISCA2
ISK5_HUMAN	SPINK5
ISOC1_HUMAN	ISOC1
ISOC2_HUMAN	ISOC2
IST1_HUMAN	IST1
ITCH_HUMAN	ITCH
ITIH5_HUMAN	ITIH5
ITM2B_HUMAN	ITM2B
IYD1_HUMAN	IYD
JKIP2_HUMAN	JAKMIP2
JKIP3_HUMAN	JAKMIP3
K0408_HUMAN	KIAA0408
K1522_HUMAN	KIAA1522
K1C10_HUMAN	KRT10
K1C13_HUMAN	KRT13
K1C16_HUMAN	KRT16
K1C19_HUMAN	KRT19
K1C20_HUMAN	KRT20
K1C25_HUMAN	KRT25
K1C9_HUMAN	KRT9
K22E_HUMAN	KRT2
K2C1_HUMAN	KRT1
K2C1B_HUMAN	KRT77
K2C75_HUMAN	KRT75
K2C8_HUMAN	KRT8
KAD1_HUMAN	AK1
