entrez_gene	rgd_gene	gene_symbol
192172	620065	Mpst
682978	1592767	Nudt13
60581	621248	Acaca
81632	620948	Abat
24450	2804	Hmgcs2
291133	621422	Aldh5a1
681361	1596729	Pisd
288088	1307072	Ndufb4
690848	1590985	Uqcr11
297415	1304825	Fam136a
680080	1596808	Tomm5
297376	1308906	Htra2
363441	1560955	Ndufa1
26192	620081	Mt-cyb
303179	1309638	Guk1
301624	1307976	D2hgdh
308409	1309147	Opa3
296972	1308277	Akr1b10
114209	620317	Phyh
361894	1560158	Ndufaf2
300447	1359488	Ecsit
287979	1306191	Parl
299743	1304915	Mrpl42
361717	1308693	Dnajc4
679907	1598163	Pam16
65183	61866	Aldh3a2
117243	69403	Acsl6
79032	708529	Mrs2
303953	1308084	Abhd10
246769	621603	Hint3
282634	628782	Pxmp4
314548	1305575	Osgepl1
297998	1303023	Nudt2
80773	621551	Cyb5b
305256	1310858	Grsf1
294230	1302998	Mrps18b
368190	1595783	Dnajc30
24248	2279	Cat
297389	1304799	Dguok
302640	1359188	Acot9
296259	1306246	Acss1
499328	1549748	Rfk
296128	1307613	Stard7
362866	1359283	Chpt1
26196	621240	Mt-atp8
303922	1359380	Timmdc1
171403	620628	Spata19
292935	1309941	Htatip2
171445	620311	Akr7a2
497778	620849	Dut
26204	621873	Mt-co3
287380	1311243	Dhrs7b
686234	1584329	Mtrf1
308593	1305013	Tmem143
287368	1309622	Nt5m
303351	1307023	Rhot1
685679	1591334	Nme4
300886	1306876	Mthfs
315463	1309188	Timm29
64533	621456	Pnpo
171433	619739	Micu2
685729	1590239	Pcbd2
309911	1359490	Qrsl1
366698	1308263	Adck1
94167	71005	Prdx6
360971	1310419	Nipsnap1
297113	1307856	Gars
246263	708383	Acsm2
691431	1583942	Slc25a33
497962	1562012	Lyrm9
361208	1309112	Rab24
313429	1305345	Pars2
361037	1309297	Mrpl52
304567	1311871	Pus1
25721	2722	Got2
361185	1562691	Naxd
26199	620557	Mt-nd3
311218	1309314	Accs
287593	1306819	Ptrh2
303698	1305052	Pgs1
117520	621857	Oxr1
289357	1311195	Lyplal1
360699	1359589	Dnajc28
687266	1587713	Fpgs
300441	1563250	Tmem205
679135	1591860	Slc25a53
303786	1306028	Aifm3
171341	70927	Mgst1
289745	1359705	Mtfp1
499214	1562228	Coa4
301431	1310329	Nif3l1
362681	1559560	Pusl1
360816	1309192	Sdsl
24887	2192	Bax
311430	1359371	Mavs
305845	1559895	Mettl17
116719	620500	Acacb
29215	2151	Arg2
307050	1310900	Mtpap
316008	1311466	Ccdc51
361253	1308114	Sugct
114114	620416	Dnm1l
25499	3210	Nrdc
293114	1308371	Tmem126b
298426	1559652	Nsun4
314800	1307051	Acss3
296408	1311378	Fam210b
307235	1311910	Rbfa
311748	1307413	Metap1d
362013	1309768	Ahcyl1
313211	1359688	Nipsnap3b
690745	1592219	Mtarc1
363442	1563372	Fundc1
25288	2015	Acsl1
289278	1309105	Cox20
361418	1308433	Hsdl1
304078	1309728	Cbr3
363289	1562440	Mterf4
308518	1302935	Nudt19
362454	1304581	Hebp1
29390	1589783	Ptpmt1
288731	1312028	Pgam5
301622	1309614	Dtymk
292028	1359653	Kars
25557	3770	Star
502525	1560220	Dnajc19
25611	3236	Otc
298762	1306111	Cox7a2l
299514	735158	Mterf3
294011	1306131	Sfxn2
50671	620665	Fasn
298575	1305769	Pink1
304735	1310320	Tmem177
58819	61959	Txnrd1
498805	1564213	Thnsl1
83791	68953	Fdps
89784	621835	Idi1
303194	1309320	Top3a
291470	1306563	Ftmt
369018	727955	Ldhal6b
311403	1304936	Mtfr1
312682	1306985	Bcl2l13
304012	1306333	Trmt10c
26759	628856	Acot7
308140	727795	Tfb1m
79117	621278	Arf5
295462	1305326	Mcub
309441	1307884	Twnk
362134	1303272	Mmadhc
364064	1310074	Pycr2
100359478	2323815	Tstd1
365361	1563498	Lyrm1
259221	628888	Osbpl1a
300057	1307732	Recql4
688786	1585222	Pet100
312890	1309005	Gdap1
684274	1592673	Mtif3
304577	1307200	Ung
293779	1307163	Glyat
361501	1309062	Isoc2b
29754	61933	Atp5mc1
64192	619915	Qdpr
308453	1311356	Coq8b
312054	1305878	Gtpbp10
24230	2228	Tspo
25319	2635	Fth1
288914	1305992	Trmt1
312258	1311058	Adck2
500420	1563572	Tstd3
294696	1309315	Mrps36
246311	628812	Pdp2
306582	1306405	Agpat5
685545	1592603	Mcrip2
54315	3932	Ucp2
306000	1359361	Slc25a37
688811	1584155	Slc25a28
361206	1563703	Slc25a48
298318	1559928	Slc25a43
299316	1303247	Slc25a47
301114	1588585	Slc25a41
298606	1359157	Slc25a34
65030	620732	Ephx2
361274	1359284	Nudt5
365567	735033	Micu1
24786	3731	Sod1
500911	1563386	Serhl2
56769	708545	Ndufaf3
297388	1305975	Bola3
100361733	2319541	Ociad2
688146	1592414	Rsad1
297436	1304561	Chchd6
301463	1307883	Fastkd2
310682	1310353	Pex11b
497863	1561167	Tmem186
367645	1586053	Pif1
24360	2590	Fabp1
363516	1562128	Abcd1
306544	1308962	Plpbp
25045	2490	Dbi
360992	1307987	Pnpt1
300029	1303177	Top1mt
298933	1309012	Rnaseh1
287788	1305931	Abca9
25541	3642	Scp2
691922	1593358	Nt5dc3
102546764	7647017	Cmc4
24534	2997	Ldhb
361822	1308722	Ybey
690660	1593411	Hint1
298576	1309944	Mul1
291824	1309279	Tk2
298607	1308424	Agmat
314004	1305881	Cmpk2
64625	620160	Bid
65142	69326	Arl2
64531	69400	Synj2bp
301563	1310230	Mff
171408	620031	Dcxr
305149	1359522	Nudt9
25284	3048	Amacr
313825	1308403	Vps13d
207120	621356	Nudt6
361520	1549698	Dmac2
304323	1305944	Mrm2
116502	621635	Bak1
65156	68352	Dhodh
25750	3041	Maob
289197	1306373	Mgst3
295305	1306336	Acp6
293149	1307576	Mrpl48
24792	2073	Agxt
25035	2502	Cyb5r3
364995	1311976	Ddx28
100188944	2300155	Pnkd
364601	1563411	Micu3
84480	620800	Bnip3
688905	1583002	Mtx3
170841	620045	Mutyh
363931	1305954	Gtpbp6
29680	69325	Cyp11a1
289590	1359549	Ociad1
502633	1561059	Mettl8
501923	1565192	Smim20
315550	1311268	Rpusd4
297971	1305158	Smim8
58964	61896	Nme6
290652	1308670	Fkbp8
353317	727928	Acsm4
315599	1311293	Nlrx1
315547	1311785	Foxred1
289307	1307091	Tfb2m
312381	1308501	Ppm1k
171082	620051	Atp5mc2
26193	620555	Mt-nd1
363521	1588532	Taz
680036	1596851	Msrb3
100363074	2324815	Acot11
29541	1309289	Nthl1
294079	1305617	Marchf5
361778	1306088	Sfxn4
362754	1306567	Trmt5
498885	1560896	Slc25a6
81528	621168	Ogg1
306127	1563454	Acod1
64016	620996	Qtrt1
361843	1304964	Aifm2
29338	3838	Prdx2
313101	1305724	Fbxl4
29653	61847	Gpam
362749	1359208	Dmac2l
311328	1308697	Rmdn3
361118	1309676	Prxl2a
171069	631426	Atp5md
29253	61898	Maoa
363074	1309779	RGD1309779
288079	1309795	Polq
315644	1309022	Bco2
170512	69404	Ifi27
362061	1311639	Cryz
287877	1307863	Pycr1
170898	620629	Tmlhe
266601	708467	Tomm20
319113	708492	Yrdc
298377	1305274	Coa7
691464	1583909	Dhrs2
291939	1305035	Mmaa
315141	1359173	Mief1
302884	1359583	MGC105649
303369	1309875	Lig3
140923	621354	Bnip3l
366192	1563839	Fastkd5
117287	621808	Park7
