 Name,Label,sex,Group,,CT,CT_ Mean,CT_ SD,Delta_CT,Delta_CT_mean,Delta_CT_SE,Level,Fold,Tissue
Mito DLoop,90430,M,1w,20,15.13145542,15.13456059,0.004391364,-11.2501955,-11.16456985,0.085625648,2295.463624,1.125745835,CORTEX
Mito DLoop,90251,F,8w,21,14.86264706,14.83268929,0.042367361,-11.13767338,-11.11752892,0.020143986,2221.824141,0.984463653,CORTEX
Mito DLoop,90254,F,8w,22,15.10821533,15.13911247,0.043695156,-11.11048889,-11.11481476,0.004325867,2217.648129,0.982613312,CORTEX
Mito DLoop,90258,F,8w,23,14.329422,14.47231579,0.202082336,-11.38741493,-11.25836468,0.129050255,2449.658078,1.08541414,CORTEX
Mito DLoop,90259,F,8w,24,14.88543606,14.90221977,0.02373643,-11.01688099,-11.0222435,0.005362034,2079.82078,0.921543665,CORTEX
Mito DLoop,90267,F,8w,25,14.67759609,14.70566845,0.039700307,-11.22928333,-11.23210239,0.002819061,2405.468837,1.065834417,CORTEX
Mito DLoop,90218,M,8w,26,15.09163761,15.11543465,0.03365409,-11.19160175,-11.25380802,0.062206268,2441.933203,1.197577736,CORTEX
Mito DLoop,90222,M,8w,27,15.06792355,15.03654289,0.044378947,-11.1701498,-11.20405579,0.033905983,2359.157114,1.156982522,CORTEX
Mito DLoop,90223,M,8w,28,14.7194376,14.73482323,0.021759238,-11.32464504,-11.28092384,0.043721676,2488.263997,1.220299376,CORTEX
Mito DLoop,90225,M,8w,29,15.36869144,15.31386375,0.077538066,-11.27204227,-11.20979214,0.062250137,2368.556116,1.161591999,CORTEX
Mito DLoop,90227,M,8w,30,14.9246006,14.92567921,0.001525379,-11.24244499,-11.31608105,0.073636055,2549.645663,1.250402295,CORTEX
Mito DLoop,90245,F,Ctrl,1,15.25477123,15.26768875,0.018268131,-11.09592342,-11.07454491,0.021378517,2156.603001,0.92022996,HEART
Mito DLoop,90248,F,Ctrl,2,14.98125362,15.09463692,0.160347521,-10.99728298,-11.00572014,0.00843668,2056.13623,0.877360441,HEART
Mito DLoop,90252,F,Ctrl,3,15.19291878,15.16910744,0.033673648,-10.84594345,-10.85100555,0.005061626,1847.047886,0.788141721,HEART
Mito DLoop,90265,F,Ctrl,4,14.69485664,14.71897125,0.034103882,-11.33807182,-11.32699203,0.011080265,2569.001531,1.096201839,HEART
Mito DLoop,90266,F,Ctrl,5,15.03421211,15.06061649,0.037341435,-11.60897636,-11.59290123,0.016075134,3088.950913,1.318066039,HEART
Mito DLoop,90217,M,Ctrl,6,14.5588789,14.58545017,0.037577454,-11.25994396,-11.21249485,0.047449112,2372.997475,1.039701288,HEART
Mito DLoop,90229,M,Ctrl,7,15.23647404,15.21510315,0.030222999,-11.12807369,-11.10376549,0.024308205,2200.728545,0.964223657,HEART
Mito DLoop,90232,M,Ctrl,8,15.20223331,15.21465302,0.017563434,-11.12814236,-11.11376762,0.014374256,2216.039104,0.9709318,HEART
Mito DLoop,90237,M,Ctrl,9,14.87938881,14.8663559,0.018430648,-11.14652061,-11.22413254,0.077611446,2392.216983,1.048122092,HEART
Mito DLoop,90239,M,Ctrl,10,15.37042713,15.36984062,0.000828776,-11.18227863,-11.12278748,0.059490681,2229.93737,0.977021164,HEART
Mito DLoop,90559,F,1w,11,14.5236721,14.50536346,0.025892327,-12.22028351,-12.20941353,0.01086998,4735.869226,2.020811779,HEART
Mito DLoop,90560,F,1w,12,14.99711323,15.11557388,0.167528659,-10.98421764,-10.9343853,0.049832344,1956.942023,0.83503393,HEART
Mito DLoop,90564,F,1w,13,15.21711826,15.22227097,0.007287022,-10.80173016,-10.87603378,0.074303627,1879.370487,0.801933887,HEART
Mito DLoop,90567,F,1w,14,14.99843788,15.00427341,0.008252691,-11.03783035,-11.02539921,0.012431145,2084.375097,0.889410063,HEART
Mito DLoop,90571,F,1w,15,14.22920513,14.21663666,0.017773831,-12.16137409,-12.23338318,0.07200861,4815.210588,2.054667013,HEART
Mito DLoop,90421,M,1w,16,14.38849449,14.47418404,0.121183313,-11.65976143,-11.59149647,0.068264961,3085.944644,1.352070811,HEART
Mito DLoop,90422,M,1w,17,14.74337959,14.70119667,0.059656337,-11.12430763,-11.21031761,0.086010456,2369.418975,1.038133409,HEART
Mito DLoop,90423,M,1w,18,14.1641283,14.15417671,0.01407435,-12.21028423,-12.19748306,0.012801647,4696.867118,2.057877786,HEART
Mito DLoop,90426,M,1w,19,13.95759964,13.93104458,0.037554529,-12.07057571,-12.22558498,0.15500927,4789.253162,2.098355659,HEART
Mito DLoop,90430,M,1w,20,14.04566479,14.05543709,0.013820794,-12.31053638,-12.18160248,0.128934383,4645.449477,2.035349744,HEART
Mito DLoop,90251,F,8w,21,15.46505356,15.52264023,0.081440523,-10.78866577,-10.66336441,0.125301838,1621.782248,0.692020094,HEART
Mito DLoop,90254,F,8w,22,15.21440125,15.16928673,0.063800886,-11.24793053,-11.28130913,0.033378124,2488.928598,1.062034441,HEART
Mito DLoop,90258,F,8w,23,14.31475639,14.26293373,0.073288314,-12.36755943,-12.4196825,0.05212307,5478.945367,2.337884939,HEART
Mito DLoop,90259,F,8w,24,15.25680351,15.36304665,0.150249809,-11.68974304,-11.58846855,0.101274967,3079.474682,1.314022498,HEART
Mito DLoop,90267,F,8w,25,14.52196026,14.56569862,0.061854716,-11.51301098,-11.46882057,0.044190884,2834.386084,1.209442345,HEART
Mito DLoop,90218,M,8w,26,14.87022114,14.84548664,0.034979861,-11.16777325,-11.19427872,0.02650547,2343.223281,1.02665607,HEART
Mito DLoop,90222,M,8w,27,14.9896822,15.01138306,0.030690324,-11.18815517,-11.21582031,0.027664661,2378.473626,1.0421006,HEART
Mito DLoop,90223,M,8w,28,15.05521488,15.03212357,0.032655377,-11.3588419,-11.32621384,0.032628536,2567.61617,1.124971209,HEART
Mito DLoop,90225,M,8w,29,14.95913029,14.95378208,0.007563505,-11.13927746,-11.12008572,0.019191742,2225.765236,0.975193192,HEART
Mito DLoop,90227,M,8w,30,14.72778797,14.77489853,0.066625066,-11.39793491,-11.48994064,0.092005253,2876.184768,1.260166957,HEART
Mito DLoop,90248,F,Ctrl,2,17.85748482,17.91282845,0.078267708,-9.184772491,-9.129096985,0.055675507,559.927794,1.25469052,AORTA
Mito DLoop,90252,F,Ctrl,3,17.40441513,17.46996689,0.092705533,-8.67291832,-8.761795998,0.088877678,434.0736379,0.972675556,AORTA
Mito DLoop,90265,F,Ctrl,4,19.24900818,19.26780701,0.026585558,-9.139577866,-9.171273232,0.031695366,576.5385362,1.291911999,AORTA
