feature_ID,cluster,ome,tissue,feature_raw,feature,female_1w_before,female_2w_before,female_4w_before,female_8w_before,male_1w_before,male_2w_before,male_4w_before,male_8w_before,female_1w_after,female_2w_after,female_4w_after,female_8w_after,male_1w_after,male_2w_after,male_4w_after,male_8w_after,gene_symbol
ENSRNOG00000006947,2,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006947,TRNSCRPT;ADRNL;ENSRNOG00000006947,-2.0615704318945,-2.65558492241616,-2.32083167656936,-2.23406097634187,3.69566446556187,1.25109770943517,0.465063828390866,0.971742967358597,-1.25705936277731,0.149934738982738,0.0356515901760606,1.2346908714342,-1.0921661130068,-0.360536328095001,-0.786137823399873,-0.434116249512135,Pdhx
ENSRNOG00000006947,1,TRNSCRPT,SKM-VL,TRNSCRPT;SKMVL;ENSRNOG00000006947,TRNSCRPT;SKM-VL;ENSRNOG00000006947,1.71050738990418,0.585537353539808,3.00042475296976,3.00484348167943,2.94000957045991,2.17772277170239,2.30683543946149,1.64997327178186,0.057093235047089,-1.30572977766042,-0.227677844822033,-0.485423144834668,3.42315559475255,2.28853465310119,1.83654470164475,0.879821583188522,Pdhx
ENSRNOG00000006949,2,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006949,TRNSCRPT;ADRNL;ENSRNOG00000006949,-0.676962035885466,-2.49038100667203,-1.70734742451979,-2.43167356955734,2.68759173327083,0.0471221249771775,-0.213932117067881,-0.44858913326528,0.946928478924829,-0.484156832846929,0.292096154678564,-0.266114327104224,-1.28390963042983,-2.04899077886444,-1.65748645880389,-2.55453020914985,C1qbp
ENSRNOG00000006949,3,TRNSCRPT,BAT,TRNSCRPT;BAT;ENSRNOG00000006949,TRNSCRPT;BAT;ENSRNOG00000006949,-0.163149862465672,-1.45096194162796,-0.0665076727598371,-1.49324015331114,-0.428490268966378,-1.32845265743594,-0.367458081146804,-4.73759998043478,-0.498396283277336,-1.46909546775965,0.0419195827385998,-0.238366328722904,-0.219561164087194,-1.08918128053629,0.93278112788464,-0.917295952022715,C1qbp
ENSRNOG00000006968,3,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006968,TRNSCRPT;ADRNL;ENSRNOG00000006968,-1.17817588158937,1.0626826594062,-1.17333723034032,-1.99782779909239,0.527173375608266,-0.477106211416433,-0.935580309611636,-2.1297191665219,-0.395226722600619,2.17618307900808,-0.00410932216767708,-0.570375796189213,-2.64459407158459,-2.1120072546818,-2.15756594492008,-4.12772945970833,Mrpl19
ENSRNOG00000007040,4,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007040,TRNSCRPT;ADRNL;ENSRNOG00000007040,-3.07878134321426,-3.32231595259936,-2.72906387465724,-3.19001672937181,4.2078257556914,0.609168669741726,-0.213798206582933,0.464565093864407,-3.30078473745556,-1.35303782370378,-0.88521450929227,-0.990593807775319,-1.56530993555332,-2.97342178324464,-3.69238527237998,-2.5756277291931,Timm17a
ENSRNOG00000007040,3,TRNSCRPT,BAT,TRNSCRPT;BAT;ENSRNOG00000007040,TRNSCRPT;BAT;ENSRNOG00000007040,0.185604806195783,0.476395485655752,0.354765842618626,-0.806394577355111,-0.4757016809637,-0.534110461925076,-1.70810283082385,-7.84569945041013,-0.18379793125698,0.869355527819092,0.522215057841355,0.565129029030369,-0.300992906931452,-0.286440737022742,-0.459706181548021,-2.91147733946147,Timm17a
ENSRNOG00000007069,3,TRNSCRPT,BAT,TRNSCRPT;BAT;ENSRNOG00000007069,TRNSCRPT;BAT;ENSRNOG00000007069,1.5226702975756,0.0285965882239556,0.806726937111825,-0.201883214085432,0.467114464077217,1.18565947860581,-0.917782671518575,-3.28974644072147,1.40594068017019,0.208860129096688,0.910633620939643,0.682667526787688,0.962777147806249,2.04799930993481,1.14238519983796,0.660191733140066,Adhfe1
ENSRNOG00000007069,2,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007069,TRNSCRPT;ADRNL;ENSRNOG00000007069,-2.49392544774696,-3.43926062168258,-1.87080244643492,-3.99292692403055,4.67315616847572,2.08603882066804,1.70172322125121,2.25015014774245,-1.48554039298563,-1.34156455139577,0.478177415842751,-1.70840608529619,0.0386996426241003,0.44615991206442,0.400194101474378,0.69772775191513,Adhfe1
ENSRNOG00000007069,4,TRNSCRPT,SKM-VL,TRNSCRPT;SKMVL;ENSRNOG00000007069,TRNSCRPT;SKM-VL;ENSRNOG00000007069,-1.88576829895248,-3.18354716469458,-2.95602697943847,-7.63885565391773,-1.8760715828985,-0.667518647224661,-0.66644857691678,-2.15474924170321,-1.53956987050511,-2.3543924279897,-1.69076997914285,-3.86880367965437,-1.89568974474337,-0.61504813706372,-0.444241469047386,-1.81078322088518,Adhfe1
